觀光遊憩區,縮名
藤枝國家森林遊樂區,藤枝遊樂區
阿里山國家森林遊樂區,阿里山遊樂區
溪頭森林遊樂區,溪頭遊樂區
奧萬大國家森林遊樂區,奧萬大遊樂區
太平山國家森林遊樂區,太平山
明池森林遊樂區,明池遊樂區
大雪山國家森林遊樂區,大雪山遊樂區
墾丁國家森林遊樂區,墾丁遊樂區
內洞國家森林遊樂區,內洞遊樂區
滿月圓國家森林遊樂區,滿月圓
惠蓀林場,惠蓀林場
八仙山國家森林遊樂區,八仙山
知本國家森林遊樂區,知本遊樂區
棲蘭森林遊樂區,棲蘭遊樂區
東眼山國家森林遊樂區,東眼山遊樂區
雙流國家森林遊樂區,雙流遊樂區
富源國家森林遊樂區,富源遊樂區
合歡山國家森林遊樂區,合歡山遊樂區
池南國家森林遊樂區,池南遊樂區
大湖,大湖
知本溫泉風景特定區,知本溫泉
清泉溫泉,清泉溫泉
內灣風景區,內灣
七星潭風景區,七星潭
蘭潭,蘭潭
鐵砧山,鐵砧山
關子嶺溫泉區,關子嶺溫泉區
霧社,霧社
五峰旗瀑布,五峰旗瀑布
小烏來風景特定區,小烏來
龍潭湖,龍潭湖
冬山河親水公園,冬山河公園
虎頭埤風景區,虎頭埤風景區
十七公里海岸觀光帶,十七公里海岸
東埔溫泉,東埔溫泉
